"ID1" "ID2" "ID3" "ID4" "ID5" "ID6" "ID7" "ID8" "ID9" "ID10" "ID11" "ID12" "ID13" "ID14" "ID15" "ID16" "ID17" "ID18"
"FAM122B" 5.325653 5.039814 5.099828 5.053185 5.213816 5.122043 5.35637 5.421981 5.285873 5.16995 5.271856 5.171128 5.157088 5.371011 5.145895 5.256983 5.235511 5.115653
"DEFB108B" 2.038747 1.965599 1.925807 1.977435 2.079381 1.953741 2.012782 2.00401 1.910149 1.957814 1.967858 2.015156 2.000106 2.158305 1.794761 1.870395 2.11497 1.985936
"CCSER2" 4.973347 4.865783 4.81891 5.024392 4.697314 5.074445 5.053836 5.095325 5.131458 5.137715 5.121298 4.965473 5.068119 5.137078 5.227699 5.045973 5.072696 5.086878
"GPD2" 5.453287 5.595471 5.223886 5.130226 5.370672 5.432795 5.06264 5.381388 5.181309 5.249694 5.449582 5.193505 5.202826 4.972469 4.993049 5.236328 4.900708 4.710156
"HECW1" 4.350837 4.279759 4.218375 4.472152 4.408025 4.120094 4.425734 4.196226 4.263098 4.241749 4.418752 4.337182 4.313885 4.340354 4.301818 4.451597 4.428732 4.46171
"GPM6A" 10.85015 10.800147 10.834759 10.780729 10.797953 10.787333 10.768188 10.811626 10.772845 10.761832 10.774383 10.799666 10.706012 10.724211 10.636788 10.677231 10.61062 10.581691
"TSPO" 3.386484 3.478054 4.110894 3.419844 4.388046 3.460394 3.311994 3.564098 3.40892 3.614002 3.476459 3.364847 3.493488 3.619961 3.5422 3.230852 3.833214 3.346396
"NME9" 1.988771 1.981122 1.962495 1.785726 1.999156 2.034974 2.022867 2.08762 1.982046 2.060459 1.881696 1.978786 1.916417 2.056098 1.738523 1.919443 1.926464 1.993071
"TNFRSF11B" 1.708183 1.6843 1.961144 1.867694 1.885102 1.987899 1.843692 1.916986 1.92789 1.718615 1.76353 1.837809 1.993934 1.751161 1.937266 2.01362 1.854405 1.787904
"AMPD3" 3.717621 3.668839 3.887144 3.664222 3.880034 4.276901 4.129165 4.625209 4.663804 4.799962 4.858335 4.878073 4.544428 4.469305 4.946647 4.731756 5.019416 4.994887
"BDH1" 5.337902 5.305181 5.472151 5.66648 5.604611 5.541258 5.376998 5.684995 5.386319 5.441435 5.5184 5.174813 5.387103 5.485244 5.229119 5.316031 5.421664 5.705585
"UQCRC1" 8.081889 7.899825 7.74983 8.243738 7.456177 8.17259 8.142934 8.252924 8.343268 8.24208 8.363796 7.969397 8.532139 8.382173 8.331773 8.129621 8.346354 8.534247
"ENOSF1" 2.832693 2.912242 2.686916 2.790267 2.972176 2.817394 2.746213 2.981544 3.042291 2.895295 3.060059 3.024614 2.987451 2.909732 3.340227 3.145697 3.249394 3.326308
"OR51E1" 2.099537 2.175496 2.330726 2.015706 2.696447 1.938695 1.986992 2.185206 2.028097 2.00674 2.21946 2.313066 1.999914 2.104835 2.047027 2.147722 2.304885 2.053699
"LOC100133920" 1.699778 1.865099 1.761964 1.71407 1.799426 1.915697 1.846624 1.730405 1.868793 1.916987 1.741187 1.782581 1.777959 1.938079 1.780287 1.794873 1.700015 1.945174
"GLYCTK" 2.990337 2.792847 2.607438 2.835653 2.856284 2.683878 2.835518 2.676749 2.64469 3.152454 2.48685 2.688195 2.86425 2.945097 2.636234 2.582348 2.917841 2.867817
"NPDC1" 7.395495 7.459866 7.681054 7.603692 7.548866 7.256716 7.242613 7.296327 7.426057 7.588118 7.474365 7.249486 7.586411 7.358578 7.465457 7.162515 7.528724 7.506384
"GJB2" 2.182004 2.166356 2.197263 2.009837 2.730721 2.172232 1.952863 1.896216 2.662653 2.142182 2.703378 1.738612 4.931143 2.076548 2.362978 2.173239 1.970142 2.171787
"EDA" 2.185539 2.094142 2.194838 2.121642 2.361793 2.073148 2.057385 2.021601 2.007538 1.969686 1.90966 2.0134 2.043719 2.088372 2.066999 2.012326 1.997391 2.066931
"PIK3CD" 4.045715 3.687885 4.183777 4.007563 4.016825 3.768963 4.140063 3.834121 4.009313 3.971698 3.960105 4.162634 3.97923 4.422034 3.988865 3.865594 4.442058 3.89416
"UBE2D2" 6.607382 6.774943 6.388171 6.854404 6.632506 6.81183 6.81258 6.842329 7.059276 7.06471 7.018059 6.773988 6.996092 6.895694 6.909792 6.738732 6.901369 6.927342
"ARMC12" 2.409283 2.710329 2.684956 2.829818 2.598009 2.572558 2.640199 2.528912 2.580194 2.746896 2.64052 2.562161 2.592528 2.566492 2.7882 2.648317 2.71392 2.476462
"CNTNAP4" 3.242054 3.425155 2.901581 3.020684 3.145319 3.299199 3.628521 3.186082 3.630361 3.483164 3.505128 3.615266 3.307476 3.241706 3.475945 3.244656 3.431528 3.574064
"FAM162A" 6.571985 6.044906 6.140948 6.318609 5.867076 6.640225 6.828658 6.754835 6.712729 6.81838 6.890425 6.530221 6.776416 7.095378 6.939932 7.116298 7.042022 6.946536
"LOC100996298" 2.178928 2.196272 2.231569 2.315605 2.40924 2.4122 2.352325 2.484233 2.31956 2.253483 2.140353 2.405127 2.236942 2.093194 2.359049 2.208736 2.191467 2.268833
"LDLR" 3.169358 3.39345 3.573118 3.494137 3.21849 5.351813 3.327333 3.779299 3.631233 3.286133 3.367259 3.297544 3.476297 3.492446 3.412889 4.125992 3.300193 3.055649
"LOXL4" 2.713353 2.3534 2.610114 2.914093 2.89893 2.89104 2.858326 2.770826 2.831816 3.001589 2.77659 2.740365 2.981201 3.159143 2.666419 2.773012 3.409339 2.863913
"CASKIN2" 3.403192 3.475234 3.858311 3.684215 3.559069 3.353714 3.549806 3.789094 3.587477 3.456886 3.5797 3.523776 3.588509 3.563251 3.683585 3.475616 3.755598 3.416008
"MUC1" 2.324371 2.339113 2.294796 2.362098 2.242786 2.294035 2.353356 2.264894 2.346054 2.34147 2.370888 2.465488 2.420914 2.494861 2.384701 2.330258 2.453966 2.278474
"C20orf166.AS1" 2.902979 2.842894 2.837116 2.906552 2.920638 2.786542 2.968709 2.830434 2.881396 2.961687 2.942326 3.088582 3.102465 3.07186 3.014294 2.931102 2.904224 3.002611
"ISLR2" 3.813912 4.799858 4.461358 4.530582 4.398686 3.467973 3.249902 3.061518 4.60931 3.800334 4.407914 3.82517 4.33779 3.224523 3.782766 2.795893 2.842109 2.904127
"OR6B1" 2.181884 1.898436 1.980602 1.972832 2.034128 2.061038 1.87996 2.076417 1.891682 1.979377 1.879471 1.950716 1.919501 2.091153 1.887353 2.053965 2.020038 1.878347
"BBS4" 4.493872 4.677079 4.164658 4.967417 4.909054 4.974326 4.358066 4.785946 4.814669 4.803376 4.66405 4.872715 4.524653 4.735769 4.372949 4.789172 4.728008 4.343025
"HNRNPA0" 6.497491 6.652046 6.101494 6.549322 6.4727 6.417337 6.54879 6.541429 6.952422 6.610668 6.856042 6.820982 6.767546 6.816202 6.637332 6.227857 6.584904 6.930445
"VSIG1" 1.986679 2.150452 1.813213 2.17186 2.175924 1.918231 2.055397 1.831705 1.924698 1.988152 2.102978 1.940233 1.849948 1.913733 1.860873 1.883686 1.953178 1.788799
"BSDC1" 4.857802 4.85863 4.91916 4.71807 4.881966 5.005087 4.659305 4.744105 4.607393 4.771715 4.731269 4.747239 4.792506 4.581331 4.823208 4.833938 4.63977 4.935839
"LOC441601" 2.529235 2.54242 2.564952 2.534725 2.578343 2.436409 2.763783 2.541643 2.752498 2.671268 2.719702 2.493707 2.523289 3.002396 2.665959 2.618822 2.603126 2.789192
"KIAA0196" 4.569948 4.731948 5.150687 5.116572 4.608846 5.183579 5.070895 5.261231 5.387383 5.411316 5.606581 5.316299 5.557836 5.347227 5.55856 5.081421 5.210177 5.444157
